"","body_mass_g","flipper_length_mm","species"
"1",3750,181,"Adelie"
"2",3800,186,"Adelie"
"3",3250,195,"Adelie"
"4",3450,193,"Adelie"
"5",3650,190,"Adelie"
"6",3625,181,"Adelie"
"7",4675,195,"Adelie"
"8",3475,193,"Adelie"
"9",4250,190,"Adelie"
"10",3300,186,"Adelie"
"11",3700,180,"Adelie"
"12",3200,182,"Adelie"
"13",3800,191,"Adelie"
"14",4400,198,"Adelie"
"15",3700,185,"Adelie"
"16",3450,195,"Adelie"
"17",4500,197,"Adelie"
"18",3325,184,"Adelie"
"19",4200,194,"Adelie"
"20",3400,174,"Adelie"
"21",3600,180,"Adelie"
"22",3800,189,"Adelie"
"23",3950,185,"Adelie"
"24",3800,180,"Adelie"
"25",3800,187,"Adelie"
"26",3550,183,"Adelie"
"27",3200,187,"Adelie"
"28",3150,172,"Adelie"
"29",3950,180,"Adelie"
"30",3250,178,"Adelie"
"31",3900,178,"Adelie"
"32",3300,188,"Adelie"
"33",3900,184,"Adelie"
"34",3325,195,"Adelie"
"35",4150,196,"Adelie"
"36",3950,190,"Adelie"
"37",3550,180,"Adelie"
"38",3300,181,"Adelie"
"39",4650,184,"Adelie"
"40",3150,182,"Adelie"
"41",3900,195,"Adelie"
"42",3100,186,"Adelie"
"43",4400,196,"Adelie"
"44",3000,185,"Adelie"
"45",4600,190,"Adelie"
"46",3425,182,"Adelie"
"47",2975,179,"Adelie"
"48",3450,190,"Adelie"
"49",4150,191,"Adelie"
"50",3500,186,"Adelie"
"51",4300,188,"Adelie"
"52",3450,190,"Adelie"
"53",4050,200,"Adelie"
"54",2900,187,"Adelie"
"55",3700,191,"Adelie"
"56",3550,186,"Adelie"
"57",3800,193,"Adelie"
"58",2850,181,"Adelie"
"59",3750,194,"Adelie"
"60",3150,185,"Adelie"
"61",4400,195,"Adelie"
"62",3600,185,"Adelie"
"63",4050,192,"Adelie"
"64",2850,184,"Adelie"
"65",3950,192,"Adelie"
"66",3350,195,"Adelie"
"67",4100,188,"Adelie"
"68",3050,190,"Adelie"
"69",4450,198,"Adelie"
"70",3600,190,"Adelie"
"71",3900,190,"Adelie"
"72",3550,196,"Adelie"
"73",4150,197,"Adelie"
"74",3700,190,"Adelie"
"75",4250,195,"Adelie"
"76",3700,191,"Adelie"
"77",3900,184,"Adelie"
"78",3550,187,"Adelie"
"79",4000,195,"Adelie"
"80",3200,189,"Adelie"
"81",4700,196,"Adelie"
"82",3800,187,"Adelie"
"83",4200,193,"Adelie"
"84",3350,191,"Adelie"
"85",3550,194,"Adelie"
"86",3800,190,"Adelie"
"87",3500,189,"Adelie"
"88",3950,189,"Adelie"
"89",3600,190,"Adelie"
"90",3550,202,"Adelie"
"91",4300,205,"Adelie"
"92",3400,185,"Adelie"
"93",4450,186,"Adelie"
"94",3300,187,"Adelie"
"95",4300,208,"Adelie"
"96",3700,190,"Adelie"
"97",4350,196,"Adelie"
"98",2900,178,"Adelie"
"99",4100,192,"Adelie"
"100",3725,192,"Adelie"
"101",4725,203,"Adelie"
"102",3075,183,"Adelie"
"103",4250,190,"Adelie"
"104",2925,193,"Adelie"
"105",3550,184,"Adelie"
"106",3750,199,"Adelie"
"107",3900,190,"Adelie"
"108",3175,181,"Adelie"
"109",4775,197,"Adelie"
"110",3825,198,"Adelie"
"111",4600,191,"Adelie"
"112",3200,193,"Adelie"
"113",4275,197,"Adelie"
"114",3900,191,"Adelie"
"115",4075,196,"Adelie"
"116",2900,188,"Adelie"
"117",3775,199,"Adelie"
"118",3350,189,"Adelie"
"119",3325,189,"Adelie"
"120",3150,187,"Adelie"
"121",3500,198,"Adelie"
"122",3450,176,"Adelie"
"123",3875,202,"Adelie"
"124",3050,186,"Adelie"
"125",4000,199,"Adelie"
"126",3275,191,"Adelie"
"127",4300,195,"Adelie"
"128",3050,191,"Adelie"
"129",4000,210,"Adelie"
"130",3325,190,"Adelie"
"131",3500,197,"Adelie"
"132",3500,193,"Adelie"
"133",4475,199,"Adelie"
"134",3425,187,"Adelie"
"135",3900,190,"Adelie"
"136",3175,191,"Adelie"
"137",3975,200,"Adelie"
"138",3400,185,"Adelie"
"139",4250,193,"Adelie"
"140",3400,193,"Adelie"
"141",3475,187,"Adelie"
"142",3050,188,"Adelie"
"143",3725,190,"Adelie"
"144",3000,192,"Adelie"
"145",3650,185,"Adelie"
"146",4250,190,"Adelie"
"147",3475,184,"Adelie"
"148",3450,195,"Adelie"
"149",3750,193,"Adelie"
"150",3700,187,"Adelie"
"151",4000,201,"Adelie"
"152",4500,211,"Gentoo"
"153",5700,230,"Gentoo"
"154",4450,210,"Gentoo"
"155",5700,218,"Gentoo"
"156",5400,215,"Gentoo"
"157",4550,210,"Gentoo"
"158",4800,211,"Gentoo"
"159",5200,219,"Gentoo"
"160",4400,209,"Gentoo"
"161",5150,215,"Gentoo"
"162",4650,214,"Gentoo"
"163",5550,216,"Gentoo"
"164",4650,214,"Gentoo"
"165",5850,213,"Gentoo"
"166",4200,210,"Gentoo"
"167",5850,217,"Gentoo"
"168",4150,210,"Gentoo"
"169",6300,221,"Gentoo"
"170",4800,209,"Gentoo"
"171",5350,222,"Gentoo"
"172",5700,218,"Gentoo"
"173",5000,215,"Gentoo"
"174",4400,213,"Gentoo"
"175",5050,215,"Gentoo"
"176",5000,215,"Gentoo"
"177",5100,215,"Gentoo"
"178",4100,216,"Gentoo"
"179",5650,215,"Gentoo"
"180",4600,210,"Gentoo"
"181",5550,220,"Gentoo"
"182",5250,222,"Gentoo"
"183",4700,209,"Gentoo"
"184",5050,207,"Gentoo"
"185",6050,230,"Gentoo"
"186",5150,220,"Gentoo"
"187",5400,220,"Gentoo"
"188",4950,213,"Gentoo"
"189",5250,219,"Gentoo"
"190",4350,208,"Gentoo"
"191",5350,208,"Gentoo"
"192",3950,208,"Gentoo"
"193",5700,225,"Gentoo"
"194",4300,210,"Gentoo"
"195",4750,216,"Gentoo"
"196",5550,222,"Gentoo"
"197",4900,217,"Gentoo"
"198",4200,210,"Gentoo"
"199",5400,225,"Gentoo"
"200",5100,213,"Gentoo"
"201",5300,215,"Gentoo"
"202",4850,210,"Gentoo"
"203",5300,220,"Gentoo"
"204",4400,210,"Gentoo"
"205",5000,225,"Gentoo"
"206",4900,217,"Gentoo"
"207",5050,220,"Gentoo"
"208",4300,208,"Gentoo"
"209",5000,220,"Gentoo"
"210",4450,208,"Gentoo"
"211",5550,224,"Gentoo"
"212",4200,208,"Gentoo"
"213",5300,221,"Gentoo"
"214",4400,214,"Gentoo"
"215",5650,231,"Gentoo"
"216",4700,219,"Gentoo"
"217",5700,230,"Gentoo"
"218",4650,214,"Gentoo"
"219",5800,229,"Gentoo"
"220",4700,220,"Gentoo"
"221",5550,223,"Gentoo"
"222",4750,216,"Gentoo"
"223",5000,221,"Gentoo"
"224",5100,221,"Gentoo"
"225",5200,217,"Gentoo"
"226",4700,216,"Gentoo"
"227",5800,230,"Gentoo"
"228",4600,209,"Gentoo"
"229",6000,220,"Gentoo"
"230",4750,215,"Gentoo"
"231",5950,223,"Gentoo"
"232",4625,212,"Gentoo"
"233",5450,221,"Gentoo"
"234",4725,212,"Gentoo"
"235",5350,224,"Gentoo"
"236",4750,212,"Gentoo"
"237",5600,228,"Gentoo"
"238",4600,218,"Gentoo"
"239",5300,218,"Gentoo"
"240",4875,212,"Gentoo"
"241",5550,230,"Gentoo"
"242",4950,218,"Gentoo"
"243",5400,228,"Gentoo"
"244",4750,212,"Gentoo"
"245",5650,224,"Gentoo"
"246",4850,214,"Gentoo"
"247",5200,226,"Gentoo"
"248",4925,216,"Gentoo"
"249",4875,222,"Gentoo"
"250",4625,203,"Gentoo"
"251",5250,225,"Gentoo"
"252",4850,219,"Gentoo"
"253",5600,228,"Gentoo"
"254",4975,215,"Gentoo"
"255",5500,228,"Gentoo"
"256",4725,216,"Gentoo"
"257",5500,215,"Gentoo"
"258",4700,210,"Gentoo"
"259",5500,219,"Gentoo"
"260",4575,208,"Gentoo"
"261",5500,209,"Gentoo"
"262",5000,216,"Gentoo"
"263",5950,229,"Gentoo"
"264",4650,213,"Gentoo"
"265",5500,230,"Gentoo"
"266",4375,217,"Gentoo"
"267",5850,230,"Gentoo"
"268",4875,217,"Gentoo"
"269",6000,222,"Gentoo"
"270",4925,214,"Gentoo"
"271",4850,215,"Gentoo"
"272",5750,222,"Gentoo"
"273",5200,212,"Gentoo"
"274",5400,213,"Gentoo"
"275",3500,192,"Chinstrap"
"276",3900,196,"Chinstrap"
"277",3650,193,"Chinstrap"
"278",3525,188,"Chinstrap"
"279",3725,197,"Chinstrap"
"280",3950,198,"Chinstrap"
"281",3250,178,"Chinstrap"
"282",3750,197,"Chinstrap"
"283",4150,195,"Chinstrap"
"284",3700,198,"Chinstrap"
"285",3800,193,"Chinstrap"
"286",3775,194,"Chinstrap"
"287",3700,185,"Chinstrap"
"288",4050,201,"Chinstrap"
"289",3575,190,"Chinstrap"
"290",4050,201,"Chinstrap"
"291",3300,197,"Chinstrap"
"292",3700,181,"Chinstrap"
"293",3450,190,"Chinstrap"
"294",4400,195,"Chinstrap"
"295",3600,181,"Chinstrap"
"296",3400,191,"Chinstrap"
"297",2900,187,"Chinstrap"
"298",3800,193,"Chinstrap"
"299",3300,195,"Chinstrap"
"300",4150,197,"Chinstrap"
"301",3400,200,"Chinstrap"
"302",3800,200,"Chinstrap"
"303",3700,191,"Chinstrap"
"304",4550,205,"Chinstrap"
"305",3200,187,"Chinstrap"
"306",4300,201,"Chinstrap"
"307",3350,187,"Chinstrap"
"308",4100,203,"Chinstrap"
"309",3600,195,"Chinstrap"
"310",3900,199,"Chinstrap"
"311",3850,195,"Chinstrap"
"312",4800,210,"Chinstrap"
"313",2700,192,"Chinstrap"
"314",4500,205,"Chinstrap"
"315",3950,210,"Chinstrap"
"316",3650,187,"Chinstrap"
"317",3550,196,"Chinstrap"
"318",3500,196,"Chinstrap"
"319",3675,196,"Chinstrap"
"320",4450,201,"Chinstrap"
"321",3400,190,"Chinstrap"
"322",4300,212,"Chinstrap"
"323",3250,187,"Chinstrap"
"324",3675,198,"Chinstrap"
"325",3325,199,"Chinstrap"
"326",3950,201,"Chinstrap"
"327",3600,193,"Chinstrap"
"328",4050,203,"Chinstrap"
"329",3350,187,"Chinstrap"
"330",3450,197,"Chinstrap"
"331",3250,191,"Chinstrap"
"332",4050,203,"Chinstrap"
"333",3800,202,"Chinstrap"
"334",3525,194,"Chinstrap"
"335",3950,206,"Chinstrap"
"336",3650,189,"Chinstrap"
"337",3650,195,"Chinstrap"
"338",4000,207,"Chinstrap"
"339",3400,202,"Chinstrap"
"340",3775,193,"Chinstrap"
"341",4100,210,"Chinstrap"
"342",3775,198,"Chinstrap"
